"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Joe Mixon","RB","FA",NA,91.9,NA,3.76,NA,NA,12.9,NA,NA,164,NA,NA,52,"15",29,134,1.92,99,9
"Jalen McMillan","WR","TB",10,126,9.19,2.41,114,135,10.8,36.8,-12.5,165,123,242,66,"10",24,163,1.85,48,2
"C.J. Stroud","QB","HOU",8,325,36.5,9.9,289,377,9.9,1.42,12.8,166,187,155,22,"4",24,138,4.31,53,3
"Chris Rodriguez","RB","JAC",7,88.1,19.8,0.891,67.6,116,9.18,11.6,11.3,167,162,159,53,"15",26,146,4.36,72,3
"Broncos","DST","DEN",10,60.5,5.81,4.57,54.4,68.4,8.75,11,9.5,168,165,162,3,"3",NA,97.1,2.83,6,NA
"Jalen Nailor","WR","LVR",13,123,36,4.09,77.6,172,8.4,0.0513,24.9,169,193,136,67,"10",27,175,2.77,91,4
"Brian Robinson","RB","ATL",11,87.3,9.14,4.41,73.5,94.5,8.29,17.4,-10.2,170,151,237,54,"15",27,156,4.54,23,4
"Chase McLaughlin","K","TB",10,152,5.48,1.38,147,160,7.94,18.1,0.858,171,148,192,5,"2",30,160,1.06,13,7
"Jake Bates","K","DET",6,151,9.77,1.32,140,164,6.55,11,4.86,172,164,175,6,"2",27,151,1.5,16,3
"Cam Little","K","JAC",7,149,7.62,0.279,144,162,5.23,14.3,2.1,173,155,188,7,"2",22,140,2.73,29,2
"Will Reichard","K","MIN",6,149,7.62,0.24,141,159,4.96,11.4,-0.0199,174,163,195,8,"2",25,167,1.2,42,2
"Tyler Loop","K","BAL",13,149,12.5,0.825,134,166,4.72,4.59,6.18,175,178,172,9,"2",24,157,0.9,52,1
"Kenyon Sadiq","TE","NYJ",13,139,28.5,0.669,97.6,164,4.62,-18.1,3.71,176,248,177,21,"6",21,142,5.73,78,0
"Rashod Bateman","WR","BAL",13,119,26.1,1.2,83.6,143,4.31,6.02,-3.93,177,176,220,68,"10",26,170,1.41,71,5
"Bills","DST","BUF",7,55.9,3.06,1.51,51.3,58.3,4.19,7.95,-0.667,178,172,200,4,"4",NA,146,0.767,3,NA
"Pat Freiermuth","TE","PIT",9,138,9.59,3.95,128,152,3.95,12.1,-8.39,179,160,230,22,"6",27,161,2.25,22,5
"Harrison Mevis","K","LAR",11,148,12.3,0.9,133,159,3.89,4.26,0,180,179,194,10,"2",24,161,1.72,74,2
"Samaje Perine","RB","CIN",6,82.8,12.3,3.87,69,96.3,3.87,12.9,-8.34,181,159,229,55,"16",30,191,1.41,84,9
"Keenan Allen","WR","FA",NA,118,NA,0.961,NA,NA,3.11,NA,NA,182,NA,NA,69,"10",34,172,4.75,76,13
"Harrison Butker","K","KC",5,147,11.1,0.399,129,158,2.99,0,-1.83,183,194,207,11,"2",31,169,1.49,48,9
"Browns","DST","CLE",11,54.4,7.54,0.5,46.7,65.3,2.67,3.38,6.41,184,180,171,5,"5",NA,147,0.933,87,NA
