"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Will Anderson","DL","HOU",8,4.25,0.925,0,3.42,5.17,0,-0.0909,0.00372,130,137,129,10,"2",25,NA,NA,27,3
"Carson Schwesinger","LB","CLE",11,5.42,3.15,0.0152,3.18,9.02,0,-0.356,0.628,130,171,106,10,"1",23,NA,NA,93,1
"Chuck Clark","DB","DET",6,5.16,2.05,0.0364,3.92,6.74,0,-0.394,0.0223,130,174,127,10,"1",31,NA,NA,97,9
"Nate Landman","LB","LAR",11,5.41,2.49,0.0899,3.67,8.26,-0.0152,0.135,-0.138,131,115,143,11,"1",27,NA,NA,63,4
"Tyson Campbell","DB","CLE",11,5.12,1.2,0.0745,4.17,6.44,-0.0364,-0.151,-0.275,132,145,164,11,"1",26,NA,NA,33,5
"Danielle Hunter","DL","HOU",8,4.18,0.973,0.0115,3.32,5.16,-0.0696,-0.191,0,133,150,130,11,"2",31,NA,NA,39,11
"Trey Hendrickson","DL","BAL",13,4.17,0.877,0.0885,3.51,5.15,-0.0812,0,-0.00963,134,130,131,12,"2",31,NA,NA,15,9
"Chris Godwin","WR","TB",10,10.4,1.44,0.00647,8.4,11.6,-0.101,0.111,-0.555,135,118,195,37,"7",30,NA,NA,39,9
"Roquan Smith","LB","BAL",13,5.32,2.37,0.0142,3.53,7.98,-0.105,-0.00857,-0.42,136,131,179,12,"1",29,NA,NA,47,8
"Blake Grupe","K","NYJ",13,8.03,1.53,0.136,5.82,9.17,-0.107,-0.278,-0.463,137,159,184,9,"2",27,NA,NA,50,3
"Marvin Harrison Jr.","WR","ARI",14,10.4,1.73,0.209,8.01,12.5,-0.108,-0.277,0.349,138,158,117,38,"7",24,NA,NA,73,2
"Jordan Battle","DB","CIN",6,5.05,1.72,0.034,3.4,6.47,-0.111,-0.921,-0.25,139,254,162,12,"1",25,NA,NA,79,3
"DeMarvion Overshown","LB","DAL",14,5.3,2.99,0.0452,2.9,8.56,-0.119,-0.642,0.162,140,202,124,13,"1",26,NA,NA,84,3
"Nick Emmanwori","DB","SEA",11,5.01,1.49,0.0315,3.96,6.72,-0.145,-0.354,0,141,170,130,13,"1",22,NA,NA,55,1
"T.J. Edwards","LB","CHI",10,5.26,2.38,0.00747,3.38,7.88,-0.165,-0.154,-0.514,142,146,193,14,"1",30,NA,NA,49,7
"Josh Allen","DL","JAC",7,4.08,0.973,0.096,3.22,5.06,-0.17,-0.291,-0.1,143,161,138,13,"2",29,NA,NA,37,7
"Jamien Sherwood","LB","NYJ",13,5.25,2.72,0.00978,3.14,8.26,-0.172,-0.401,-0.133,144,175,142,15,"1",26,NA,NA,74,5
"Christian Gonzalez","DB","NE",11,4.98,1.11,0.0162,3.97,6.06,-0.176,-0.344,-0.654,145,169,202,14,"1",24,NA,NA,28,3
"Bobby Okereke","LB","CAR",5,5.24,1.69,0.033,4.16,7.2,-0.182,0.623,-1.2,146,86,250,16,"1",30,NA,NA,14,7
"Devon Witherspoon","DB","SEA",11,4.96,1.63,0.00033,3.63,6.73,-0.193,-0.692,0.00918,147,212,128,15,"1",25,NA,NA,71,3
"Julian Blackmon","DB","NO",8,4.96,0.919,0.0128,4.41,5.67,-0.193,0.0921,-1.04,148,120,234,16,"1",28,NA,NA,14,6
"Budda Baker","DB","ARI",14,4.95,2.36,0.0059,2.85,7.31,-0.206,-1.47,0.598,149,348,108,17,"1",30,NA,NA,98,9
"Minkah Fitzpatrick","DB","NYJ",13,4.94,1.66,0.0444,3.44,6.55,-0.212,-0.881,-0.17,150,246,147,18,"1",29,NA,NA,72,8
"Barrett Carter","LB","CIN",6,5.21,2.63,0.0572,3.47,8.25,-0.215,-0.0681,-0.152,151,133,144,17,"1",23,NA,NA,68,1
"Tucker Kraft","TE","GB",11,9.1,1.35,0.163,7.19,10.2,-0.228,-0.445,-0.222,152,183,158,14,"5",25,NA,NA,49,3
"Cairo Santos","K","CHI",10,7.89,1.92,0.00503,5.18,9.54,-0.244,-0.917,-0.0919,153,252,137,10,"2",34,NA,NA,90,12
"Joey Slye","K","TEN",9,7.89,2.77,0.0383,4.89,11.4,-0.249,-1.21,1.78,154,315,70,11,"2",30,NA,NA,99,7
"Theo Jackson","DB","MIN",6,4.9,NA,0.0253,NA,NA,-0.256,NA,NA,155,NA,NA,19,"1",27,NA,NA,NA,4
"Titans","DST","TEN",9,5.85,0.579,0.0245,5.14,6.65,-0.259,0,-0.667,156,130,206,4,"2",NA,NA,NA,23,NA
"Jonathan Greenard","DL","PHI",10,3.98,1.27,0.33,3.22,4.96,-0.266,-0.295,-0.201,157,162,154,14,"2",29,NA,NA,75,6
"Quay Walker","LB","LVR",13,5.15,2.72,0.00203,3.04,8.16,-0.272,-0.501,-0.233,158,187,160,18,"1",26,NA,NA,75,4
"Foyesade Oluokun","LB","JAC",7,5.15,2.69,0.0495,3.32,8.24,-0.274,-0.215,-0.152,159,154,145,19,"1",31,NA,NA,72,8
"Nick Scott","DB","CAR",5,4.87,1.95,0.0085,3.47,7.09,-0.281,-0.848,0.377,160,242,115,20,"1",31,NA,NA,90,7
"Broncos","DST","DEN",10,5.83,1.4,0.143,4.08,7.62,-0.283,-1.06,0.297,161,284,122,5,"3",NA,NA,NA,97,NA
"Jake Elliott","K","PHI",10,7.85,1.32,0.0239,6.51,9.16,-0.287,0.415,-0.471,162,98,187,12,"2",31,NA,NA,33,9
"Andrew Mukuba","DB","PHI",10,4.87,1.41,0.0425,4.02,5.96,-0.29,-0.302,-0.759,163,163,210,21,"1",23,NA,NA,52,1
"Kyle Monangai","RB","CHI",10,8.86,0.789,0.575,8.07,9.77,-0.306,1.36,-0.948,164,74,221,36,"9",24,NA,NA,13,1
"Evan McPherson","K","CIN",6,7.82,1.55,0.0683,5.97,9.53,-0.311,-0.13,-0.101,165,143,139,13,"2",27,NA,NA,63,5
"Michael Pittman","WR","PIT",9,10.2,1.17,0.138,8.25,11,-0.317,-0.0307,-1.17,166,132,245,39,"7",28,NA,NA,17,6
"Willie Gay","LB","MIA",6,5.1,NA,0.12,NA,NA,-0.324,NA,NA,167,NA,NA,20,"1",28,NA,NA,NA,6
"Kamren Curl","DB","LAR",11,4.82,1.95,0.00387,3.56,7.08,-0.332,-0.755,0.367,168,225,116,22,"1",27,NA,NA,91,6
"Chamarri Conner","DB","KC",5,4.82,1.26,0.017,3.87,6.23,-0.336,-0.453,-0.482,169,185,188,23,"1",26,NA,NA,41,3
"Cole Bishop","DB","BUF",7,4.8,1.58,0.0506,3.52,6.53,-0.353,-0.794,-0.191,170,231,151,24,"1",23,NA,NA,64,2
"Spencer Shrader","K","IND",13,7.76,1.32,0.0435,6,9.14,-0.379,-0.0978,-0.5,171,140,190,14,"2",27,NA,NA,40,2
"Jake Ferguson","TE","DAL",14,8.94,1.36,0.305,7.46,10.4,-0.391,-0.181,0,172,148,130,15,"5",27,NA,NA,51,4
"Quentin Lake","DB","LAR",11,4.75,1.69,0.00572,3.61,6.7,-0.404,-0.705,-0.0147,173,216,132,25,"1",27,NA,NA,74,4
"Calen Bullock","DB","HOU",8,4.75,0.566,0.00313,4.41,5.18,-0.41,0.0879,-1.53,174,121,285,26,"1",23,NA,NA,7,2
"Kool-Aid McKinstry","DB","NO",8,4.74,0.391,4.67e-05,4.36,5,-0.413,0.0435,-1.72,175,125,305,27,"1",23,NA,NA,2,2
"Antonio Johnson","DB","JAC",7,4.74,0.0707,0.0209,4.7,4.8,-0.413,0.382,-1.92,176,101,322,28,"1",24,NA,NA,1,3
"Chase McLaughlin","K","TB",10,7.71,1.55,0.0893,5.46,8.71,-0.423,-0.635,-0.93,177,200,220,15,"2",30,NA,NA,60,7
"Lions","DST","DET",6,5.68,0.765,0.131,4.83,6.74,-0.427,-0.309,-0.58,178,164,197,6,"4",NA,NA,NA,58,NA
"Nick Cross","DB","WAS",7,4.72,1.5,0.0128,3.48,6.33,-0.434,-0.843,-0.383,179,241,175,29,"1",25,NA,NA,57,4
"Mack Wilson","LB","ARI",14,4.98,2.32,0.0534,2.99,7.4,-0.444,-0.545,-0.993,180,191,226,21,"1",28,NA,NA,42,7
"Xavier Watts","DB","ATL",11,4.71,1.09,0.00673,3.68,5.67,-0.446,-0.641,-1.04,181,201,233,30,"1",24,NA,NA,26,1
"Derwin James","DB","LAC",7,4.7,1.58,0.0568,3.42,6.43,-0.453,-0.894,-0.291,182,248,165,31,"2",30,NA,NA,66,8
"Jakobi Meyers","WR","JAC",7,10,1.01,0.00342,8.65,11.3,-0.455,0.362,-0.845,183,102,215,40,"7",29,NA,NA,6,7
"Michael Wilson","WR","ARI",14,10,1.51,0.0293,8.21,12.2,-0.459,-0.0699,0,184,134,130,41,"7",26,NA,NA,49,3
"Courtland Sutton","WR","DEN",10,9.99,1.55,0.0394,7.91,12,-0.488,-0.379,-0.166,185,172,146,42,"7",30,NA,NA,60,8
"Zack Baun","LB","PHI",10,4.93,2.09,0.00129,3.37,7.29,-0.498,-0.164,-1.11,186,147,241,22,"1",29,NA,NA,30,6
"Devin Bush","LB","CHI",10,4.92,2.42,0.0704,3.61,7.74,-0.499,0.0677,-0.655,187,122,203,23,"1",28,NA,NA,58,7
"Xavier McKinney","DB","GB",11,4.65,1.87,0.00083,2.99,6.53,-0.51,-1.33,-0.185,188,328,149,32,"2",27,NA,NA,86,6
"Cooper DeJean","DB","PHI",10,4.65,1.03,0.0168,3.91,5.84,-0.511,-0.404,-0.878,189,176,217,33,"2",23,NA,NA,21,2
"Harrison Butker","K","KC",5,7.62,1.38,0.017,5.68,8.77,-0.512,-0.413,-0.867,190,178,216,16,"2",31,NA,NA,43,9
"Josh Downs","WR","IND",13,9.95,1.42,0.0771,8.28,12,-0.527,0,-0.192,191,130,152,43,"8",25,NA,NA,37,3
"Dante Trader","DB","MIA",6,4.63,1.36,0.00784,3.9,6.21,-0.528,-0.416,-0.505,192,181,192,34,"2",23,NA,NA,48,1
"Chris Boswell","K","PIT",9,7.61,1.76,0.076,5.1,9.05,-0.529,-1,-0.586,193,262,198,17,"2",35,NA,NA,80,12
"Paulson Adebo","DB","NYG",8,4.62,1.54,0.00572,3.66,6.41,-0.535,-0.66,-0.31,194,207,169,35,"2",27,NA,NA,62,5
"Michael Jackson","DB","CAR",5,4.61,0.565,0.0107,4.11,5.18,-0.541,-0.207,-1.54,195,152,286,36,"2",29,NA,NA,5,7
"Antoine Winfield","DB","TB",10,4.6,1.71,0.0618,3.18,6.43,-0.552,-1.14,-0.291,196,305,166,37,"2",28,NA,NA,78,6
"Texans","DST","HOU",8,5.55,1.15,0.28,4.09,7.11,-0.558,-1.05,-0.208,197,282,155,7,"5",NA,NA,NA,94,NA
"Nakobe Dean","LB","LVR",13,4.85,2.65,0.155,3.13,7.94,-0.569,-0.411,-0.461,198,177,183,24,"1",25,NA,NA,70,4
"Cameron Heyward","DL","PIT",9,3.65,1.06,0.00358,2.92,4.38,-0.596,-0.59,-0.784,199,195,212,15,"2",37,NA,NA,54,15
"Jayson Oweh","DL","WAS",7,3.65,1.14,0.213,2.81,4.94,-0.599,-0.698,-0.225,200,215,159,16,"3",27,NA,NA,66,5
"Brian Thomas Jr.","WR","JAC",7,9.87,1.46,0.422,8.07,11.5,-0.604,-0.213,-0.604,201,153,200,44,"8",23,NA,NA,41,2
"Cam Little","K","JAC",7,7.53,1.76,0.155,5.13,9.15,-0.605,-0.969,-0.487,202,257,189,18,"2",23,NA,NA,77,2
"Alohi Gilman","DB","KC",5,4.54,1.4,0.0494,3.19,5.68,-0.614,-1.13,-1.04,203,304,231,38,"2",28,NA,NA,50,6
"Jaquan Brisker","DB","PIT",9,4.49,1.75,0.00268,3.27,6.5,-0.663,-1.05,-0.215,204,283,156,39,"2",27,NA,NA,81,4
