snapshot,season,week_of_paste,table,team,player,week,value
2026-09-10,2026,1,dst,ATL,,5,3.7
2026-09-10,2026,1,dst,ATL,,6,4.2
2026-09-10,2026,1,dst,ATL,,7,3.2
2026-09-10,2026,1,dst,ATL,,8,4.8
2026-09-10,2026,1,dst,ATL,,9,3.4
2026-09-10,2026,1,dst,ATL,,10,3.6
2026-09-10,2026,1,dst,ATL,,12,5.3
2026-09-10,2026,1,dst,ATL,,13,4.6
2026-09-10,2026,1,dst,ATL,,14,6.9
2026-09-10,2026,1,dst,ATL,,15,4.9
2026-09-10,2026,1,dst,ATL,,16,4.2
2026-09-10,2026,1,dst,ATL,,17,4.8
2026-09-10,2026,1,dst,ATL,,avg,4.6
2026-09-10,2026,1,dst,ATL,,playoffs,4.6
2026-09-10,2026,1,dst,HOU,,1,5.2
2026-09-10,2026,1,dst,HOU,,2,4.3
2026-09-10,2026,1,dst,HOU,,3,4.2
2026-09-10,2026,1,dst,HOU,,4,4.8
2026-09-10,2026,1,dst,HOU,,5,8.1
2026-09-10,2026,1,dst,HOU,,6,4.1
2026-09-10,2026,1,dst,HOU,,7,4.9
2026-09-10,2026,1,dst,HOU,,9,4.4
2026-09-10,2026,1,dst,HOU,,10,7.9
2026-09-10,2026,1,dst,HOU,,11,5.1
2026-09-10,2026,1,dst,HOU,,12,5.5
2026-09-10,2026,1,dst,HOU,,13,6.5
2026-09-10,2026,1,dst,HOU,,14,5.5
2026-09-10,2026,1,dst,HOU,,15,5.0
2026-09-10,2026,1,dst,HOU,,16,3.8
2026-09-10,2026,1,dst,HOU,,17,6.1
2026-09-10,2026,1,dst,HOU,,avg,5.3
2026-09-10,2026,1,dst,HOU,,playoffs,4.9
2026-09-10,2026,1,dst,CAR,,1,4.9
2026-09-10,2026,1,dst,CAR,,2,4.4
2026-09-10,2026,1,dst,CAR,,3,7.9
2026-09-10,2026,1,dst,CAR,,4,4.8
2026-09-10,2026,1,dst,CAR,,6,5.0
2026-09-10,2026,1,dst,CAR,,7,5.3
2026-09-10,2026,1,dst,CAR,,8,4.1
2026-09-10,2026,1,dst,CAR,,9,4.0
2026-09-10,2026,1,dst,CAR,,10,4.5
2026-09-10,2026,1,dst,CAR,,11,4.7
2026-09-10,2026,1,dst,CAR,,12,6.1
2026-09-10,2026,1,dst,CAR,,13,4.9
2026-09-10,2026,1,dst,CAR,,14,5.5
2026-09-10,2026,1,dst,CAR,,15,4.2
2026-09-10,2026,1,dst,CAR,,16,5.4
2026-09-10,2026,1,dst,CAR,,17,4.5
2026-09-10,2026,1,dst,CAR,,avg,5.0
2026-09-10,2026,1,dst,CAR,,playoffs,4.7
2026-09-10,2026,1,dst,WAS,,1,4.7
2026-09-10,2026,1,dst,WAS,,2,3.1
2026-09-10,2026,1,dst,WAS,,3,4.6
2026-09-10,2026,1,dst,WAS,,4,5.5
2026-09-10,2026,1,dst,WAS,,5,5.3
2026-09-10,2026,1,dst,WAS,,6,5.1
2026-09-10,2026,1,dst,WAS,,8,5.8
2026-09-10,2026,1,dst,WAS,,9,3.3
2026-09-10,2026,1,dst,WAS,,10,4.0
2026-09-10,2026,1,dst,WAS,,11,5.5
2026-09-10,2026,1,dst,WAS,,12,7.6
2026-09-10,2026,1,dst,WAS,,13,7.2
2026-09-10,2026,1,dst,WAS,,14,6.0
2026-09-10,2026,1,dst,WAS,,15,5.9
2026-09-10,2026,1,dst,WAS,,16,5.1
2026-09-10,2026,1,dst,WAS,,17,4.6
2026-09-10,2026,1,dst,WAS,,avg,5.2
2026-09-10,2026,1,dst,WAS,,playoffs,5.2
2026-09-10,2026,1,dst,CLE,,1,4.5
2026-09-10,2026,1,dst,CLE,,2,4.1
2026-09-10,2026,1,dst,CLE,,3,6.1
2026-09-10,2026,1,dst,CLE,,4,4.8
2026-09-10,2026,1,dst,CLE,,5,6.1
2026-09-10,2026,1,dst,CLE,,6,5.0
2026-09-10,2026,1,dst,CLE,,7,6.7
2026-09-10,2026,1,dst,CLE,,8,5.5
2026-09-10,2026,1,dst,CLE,,9,4.2
2026-09-10,2026,1,dst,CLE,,10,5.3
2026-09-10,2026,1,dst,CLE,,12,8.0
2026-09-10,2026,1,dst,CLE,,13,4.1
2026-09-10,2026,1,dst,CLE,,14,5.5
2026-09-10,2026,1,dst,CLE,,15,4.5
2026-09-10,2026,1,dst,CLE,,16,4.4
2026-09-10,2026,1,dst,CLE,,17,5.0
2026-09-10,2026,1,dst,CLE,,avg,5.2
2026-09-10,2026,1,dst,CLE,,playoffs,4.6
2026-09-10,2026,1,dst,MIN,,1,4.4
2026-09-10,2026,1,dst,MIN,,2,3.5
2026-09-10,2026,1,dst,MIN,,3,3.8
2026-09-10,2026,1,dst,MIN,,4,7.2
2026-09-10,2026,1,dst,MIN,,5,3.2
2026-09-10,2026,1,dst,MIN,,7,4.4
2026-09-10,2026,1,dst,MIN,,8,3.4
2026-09-10,2026,1,dst,MIN,,9,4.6
2026-09-10,2026,1,dst,MIN,,10,4.7
2026-09-10,2026,1,dst,MIN,,11,3.2
2026-09-10,2026,1,dst,MIN,,12,5.5
2026-09-10,2026,1,dst,MIN,,13,5.8
2026-09-10,2026,1,dst,MIN,,14,2.8
2026-09-10,2026,1,dst,MIN,,15,4.1
2026-09-10,2026,1,dst,MIN,,16,4.3
2026-09-10,2026,1,dst,MIN,,17,5.8
2026-09-10,2026,1,dst,MIN,,avg,4.4
2026-09-10,2026,1,dst,MIN,,playoffs,4.7
2026-09-10,2026,1,dst,NYG,,1,3.9
2026-09-10,2026,1,dst,NYG,,2,2.9
2026-09-10,2026,1,dst,NYG,,3,8.5
2026-09-10,2026,1,dst,NYG,,4,8.5
2026-09-10,2026,1,dst,NYG,,5,5.2
2026-09-10,2026,1,dst,NYG,,6,6.1
2026-09-10,2026,1,dst,NYG,,7,4.6
2026-09-10,2026,1,dst,NYG,,9,4.9
2026-09-10,2026,1,dst,NYG,,10,5.1
2026-09-10,2026,1,dst,NYG,,11,5.9
2026-09-10,2026,1,dst,NYG,,12,4.5
2026-09-10,2026,1,dst,NYG,,13,5.0
2026-09-10,2026,1,dst,NYG,,14,4.1
2026-09-10,2026,1,dst,NYG,,15,7.2
2026-09-10,2026,1,dst,NYG,,16,5.1
2026-09-10,2026,1,dst,NYG,,17,3.8
2026-09-10,2026,1,dst,NYG,,avg,5.3
2026-09-10,2026,1,dst,NYG,,playoffs,5.3
2026-09-10,2026,1,dst,SF,,1,3.9
2026-09-10,2026,1,dst,SF,,2,9.5
2026-09-10,2026,1,dst,SF,,3,9.1
2026-09-10,2026,1,dst,SF,,4,5.2
2026-09-10,2026,1,dst,SF,,5,4.0
2026-09-10,2026,1,dst,SF,,6,7.6
2026-09-10,2026,1,dst,SF,,7,5.8
2026-09-10,2026,1,dst,SF,,9,9.0
2026-09-10,2026,1,dst,SF,,10,4.2
2026-09-10,2026,1,dst,SF,,11,7.3
2026-09-10,2026,1,dst,SF,,12,5.8
2026-09-10,2026,1,dst,SF,,13,4.7
2026-09-10,2026,1,dst,SF,,14,3.9
2026-09-10,2026,1,dst,SF,,15,4.2
2026-09-10,2026,1,dst,SF,,16,3.9
2026-09-10,2026,1,dst,SF,,17,5.8
2026-09-10,2026,1,dst,SF,,avg,5.9
2026-09-10,2026,1,dst,SF,,playoffs,4.6
2026-09-10,2026,1,dst,IND,,1,3.8
2026-09-10,2026,1,dst,IND,,2,3.0
2026-09-10,2026,1,dst,IND,,3,5.7
2026-09-10,2026,1,dst,IND,,4,4.4
2026-09-10,2026,1,dst,IND,,5,6.0
2026-09-10,2026,1,dst,IND,,6,7.5
2026-09-10,2026,1,dst,IND,,7,5.5
2026-09-10,2026,1,dst,IND,,8,4.3
2026-09-10,2026,1,dst,IND,,9,4.1
2026-09-10,2026,1,dst,IND,,10,7.4
2026-09-10,2026,1,dst,IND,,11,4.3
2026-09-10,2026,1,dst,IND,,12,5.1
2026-09-10,2026,1,dst,IND,,14,5.3
2026-09-10,2026,1,dst,IND,,15,7.2
2026-09-10,2026,1,dst,IND,,16,3.6
2026-09-10,2026,1,dst,IND,,17,6.7
2026-09-10,2026,1,dst,IND,,avg,5.2
2026-09-10,2026,1,dst,IND,,playoffs,5.8
2026-09-10,2026,1,dst,NE,,1,3.8
2026-09-10,2026,1,dst,NE,,2,7.2
2026-09-10,2026,1,dst,NE,,3,4.4
2026-09-10,2026,1,dst,NE,,4,3.0
2026-09-10,2026,1,dst,NE,,5,8.6
2026-09-10,2026,1,dst,NE,,6,7.3
2026-09-10,2026,1,dst,NE,,7,4.4
2026-09-10,2026,1,dst,NE,,8,7.8
2026-09-10,2026,1,dst,NE,,9,5.6
2026-09-10,2026,1,dst,NE,,10,5.3
2026-09-10,2026,1,dst,NE,,12,4.3
2026-09-10,2026,1,dst,NE,,13,4.7
2026-09-10,2026,1,dst,NE,,14,5.5
2026-09-10,2026,1,dst,NE,,15,5.3
2026-09-10,2026,1,dst,NE,,16,6.6
2026-09-10,2026,1,dst,NE,,17,4.5
2026-09-10,2026,1,dst,NE,,avg,5.5
2026-09-10,2026,1,dst,NE,,playoffs,5.5
2026-09-10,2026,1,dst,NO,,1,3.2
2026-09-10,2026,1,dst,NO,,2,4.3
2026-09-10,2026,1,dst,NO,,3,8.5
2026-09-10,2026,1,dst,NO,,4,6.9
2026-09-10,2026,1,dst,NO,,5,6.5
2026-09-10,2026,1,dst,NO,,6,4.6
2026-09-10,2026,1,dst,NO,,7,7.0
2026-09-10,2026,1,dst,NO,,9,7.6
2026-09-10,2026,1,dst,NO,,10,6.5
2026-09-10,2026,1,dst,NO,,11,4.8
2026-09-10,2026,1,dst,NO,,12,4.1
2026-09-10,2026,1,dst,NO,,13,5.4
2026-09-10,2026,1,dst,NO,,14,6.1
