season,overall_pick,round,round_pick,team,owner,player,pos,bid,keeper
2024,109,10,10,3AM  No Limit,espn14211458,Dallas Goedert,TE,3,False
2024,110,10,11,Etienne all the Capicola,CBPainTrain,Brian Thomas Jr.,WR,7,False
2024,111,11,1,Ugh...Yeah...What...Football!,kdoggs80,T.J. Hockenson,TE,4,False
2024,112,11,2,3AM  No Limit,espn14211458,Jayden Daniels,QB,5,False
2024,113,11,3,3AM  No Limit,espn14211458,Aaron Jones,RB,16,False
2024,114,11,4,"Hahaha nice name, i got nothing",Rohabhabibo,Jordan Addison,WR,3,False
2024,115,11,5,Ugh...Yeah...What...Football!,kdoggs80,Cooper Kupp,WR,26,False
2024,116,11,6,Etienne all the Capicola,CBPainTrain,Jared Goff,QB,13,False
2024,117,11,7,Etienne all the Capicola,CBPainTrain,David Montgomery,RB,8,False
2024,118,11,8,Rolling with Younghoes,espn98580191,Drake London,WR,37,False
2024,119,11,9,We call this the hail mary!,funblood,Chiefs D/ST,DST,1,False
2024,120,11,10,Da'Kine Bail Bonds,espn19238790,Texans D/ST,DST,2,False
